level,levelName,vName,def_tech,ref,def_simple,comments
4,Object-related processes,Administrate transport to healthcare services,Administrates access to and provision of transport to healthcare services.,,,
4,Object-related processes,Administrate waste and recycling,"Administrates access to and provision of waste collection, deposition and recycling.",,,
4,Object-related processes,Advise carers,Affords help and support for carers looking after patients or a vulnerable person.,,,
4,Object-related processes,Advise on community activities,Affords information on community acitivities.,,,
4,Object-related processes,Advise or regulate implementation of workplace policies,"Affords external information and advice on employment issues or concerns, including how to appropriately implement workplace policies.",,,
4,Object-related processes,Advise or set government policy,Affords government policy.,,,
4,Object-related processes,Allow road crossing,Affords safe road crossings at particular points.,,,
4,Object-related processes,Animal rescue,Affords animal rescue.,,,
4,Object-related processes,Calm traffic,Affords measures to calm traffic by reducing speed and/or increasing safety.,,,
4,Object-related processes,Charge electric vehicles,Affords the charging of electric vehicles.,,,
4,Object-related processes,Connect buildings to services,"Affords buildings to be connected to essential services such as plumbing, electricity and/or gas.",,,
4,Object-related processes,Construct buildings,"Affords the construction of residential, public or commerical properities.",,,
4,Object-related processes,Coordinate construction work,"Affords the coordination of residential, public or commericial construction work.",,,
4,Object-related processes,Criminal investigation,Affords crimes to be investigated.,,,
4,Object-related processes,Design buildings and urban spaces,Affords the design of urban areas and buildings.,,,
4,Object-related processes,Direct traffic,Affords traffic to be directed safely.,,,
4,Object-related processes,Dispense medicines,Affords medicines to be processed and dispensed.,,,
4,Object-related processes,Display items of significance,"Affords the display of items that are of artistic, cultural, historical or scientific significance for public viewing.",,,
4,Object-related processes,Dispose waste and recycling,Affords the disposal of waste and recycling.,,,
4,Object-related processes,Enforce building standards,Affords enforecement around building standards such as building safety and quality.,,,
4,Object-related processes,Enforce environmental standards,"Affords enforcement around environmental standards such as water quality and CO2 emissions, etc.",,,
4,Object-related processes,Enforce food standards,"Affords enforcement around food safety, food labelling and food hygiene.",,,
4,Object-related processes,Enforce health and safety,Affords enforcemet around health and safety in the workplace.,,,
4,Object-related processes,Facilitate creative expression,Affords facilitation of creative expression.,,,
4,Object-related processes,Facilitate cultural events,Affords facilitation of cultural events. ,,,
4,Object-related processes,Facilitate leisure or recreation,Affords facilitation of recreation or leisure.,,,
4,Object-related processes,Facilitate registrar services,"Affords facilitation of civil weddings and enable births, deaths, and weddings to be registered.",,,
4,Object-related processes,Generate electricity,Affords generation of electricity.,,,
4,Object-related processes,Generate traffic information,Affords traffic data to be collected and processed to generate traffic information.,,,
4,Object-related processes,Grow food,"Affords food such as grains, vegetables and livestock to be grown and proccessed at the source of the supply chain. ",,,
4,Object-related processes,House animals,Accommodates animals.,,,
4,Object-related processes,Maintain clothing,"Affords the cleaning, drying, altering or repairing of clothes.",,,
4,Object-related processes,Provide cleaning and maintenance services,Affords the maintenance of public outdoor spaces (e.g. grass cutting) and indoor private spaces (e.g. cleaning).,,,
4,Object-related processes,Maintain roads,Affords the maintenance of roads to keep them in adequate condition.,,,
4,Object-related processes,Maintain vehicles,Affords the maintenance of vehicles to ensure they are safe to drive.,,,
4,Object-related processes,Maintain watercourses,Affords cleaning and clearing of debris in watercourses. ,,,
4,Object-related processes,Manage pests,Affords prevention or management of pests.,,,
4,Object-related processes,Manage property,Affords managment or letting of commerical or residential properities.,,,
4,Object-related processes,Manufacture consumer discretionary,"Affords the manufacturing of consumer discretionary products. Consumer discretionary products are considered non-essential by consumers, but desireable if their income is sufficient to purchase them",,,
4,Object-related processes,Manufacture consumer staples,"Affords the manufacturing of consumer staple products. Consumer staple products are considered essential products, as well as alchohol and tobacco.",,,
4,Object-related processes,Manufacture gas and oil equipment and supplies,Affords the manufacturing of gas and oil equipment and supplies.,,,
4,Object-related processes,Manufacture healthcare equipment and supplies,Affords the manufacturing of healthcare eqipment and supplies.,,,
4,Object-related processes,Manufacture industrial equipment and supplies,Affords the manufacturing of industrial equipment and suplies.,,,
4,Object-related processes,Manufacture materials,"Affords the manufacturing of materials such as chemicals, construction materials, containers and packaging, metals and mining, paper and forest products.",,,
4,Object-related processes,Manufacture telecommunication equipment and supplies,Affords the manufacturing of telecommunication equipment and supplies.,,,
4,Object-related processes,Monitor environment,Affords environmental monitoring and regulation.,,,
4,Object-related processes,Monitor neighbourhood,Affords neighourhood monitoring and neighbourhood watch for neighbourhood safety.,,,
4,Object-related processes,Process waste and recycling,Processes collected waste and recycling.,,,
4,Object-related processes,Provide a psychological sense of home,Affords a psychological sense of home on an individual scale.,,,
4,Object-related processes,Provide access to planning resources and services,Affords access to plannning resources and associated services.,,,
4,Object-related processes,Provide aesthetic value,Affords aesthetic value that contributes to place-making or sense of pride in place. ,,,
4,Object-related processes,Provide other specialist healthcare services,"Affords specialist, alternative and/or complimentary healthcare services and treatments.",,,
4,Object-related processes,Provide animal healthcare,Affords animal healthcare and treatment.,,,
4,Object-related processes,Provide assisted living,Affords assisted living for those who cannot live completely independently.,,,
4,Object-related processes,Provide barrier to movement,"Provides restricted movement of people, animals or goods.",,,
4,Object-related processes,Provide covered passageway,Affords movement through an otherwise inaccessible object by providing a covered passageway.,,,
4,Object-related processes,Provide death-care services,Affords death-care services.,,,
4,Object-related processes,Provide dental healthcare services,Affords professional dental and orthodontal healthcare serivces.,,,
4,Object-related processes,Provide discretionary goods,Affords consumer discretionary goods (goods that are considered non-essential but desireable) to be purchased. ,,,
4,Object-related processes,Provide drainage,Affords drainage to manage surface water.,,,
4,Object-related processes,Provide education services,"Affords primary, secondary and further education by following a general curriculum.",,,
4,Object-related processes,Provide employment,Affords employment and associated administrative processes.,,,
4,Object-related processes,Provide financial services (business),"Affords commercial financial services such as business loans, business accounting etc.",,,
4,Object-related processes,Provide financial services (household),"Affords personal financial services such as mortgage advice, insurance advice, personal loans etc.",,,
4,Object-related processes,Provide flood barrier,Affords a barrier or defence to flooding.,,,
4,Object-related processes,Provide general healthcare services,"Affords professional general healthcare services, including everything from primary care consultations to non-life-threatening care (e.g. allocated to 111 calls, elective surgeries, or outpatient services).",,,
4,Object-related processes,Provide insurance,Affords risk management and insurance services to customers.                                                                                                                   ,,,
4,Object-related processes,Provide interior trades,"Affords interior building trades such as fitting windows, fitting indoor wooden work etc.",,,
4,Object-related processes,Provide IT services,Affords IT services for personal and commerical use.,,,
4,Object-related processes,Provide legal advice,Affords legal advice and services.,,,
4,Object-related processes,Provide life-threatening healthcare services,"Affords professional life-threatening healthcare services. Life-threatening is defined as what is advised for 999 calls, and emergency surgeries, ICU treatment, etc.",,,
4,Object-related processes,Provide marketing and media services,Affords marketing and media services for external and internal business use.,,,
4,Object-related processes,Provide mental healthcare services,Affords professional mental healthcare services.,,,
4,Object-related processes,Provide older childcare,Affords childcare for children who are of school age.,,,
4,Object-related processes,Provide optical healthcare services,Affords professional optical healthcare and vision services.,,,
4,Object-related processes,Provide other discretionary services,"Affords non-essential services such as beauty services, hospitality services, entertainment services etc.",,,
4,Object-related processes,Provide physiotherapy services,"Affords physiotherapy services that help restore movement and function after injury, illness or disability.",,,
4,Object-related processes,Provide place of worship,Affords a place of worship or a prayer room to worship.,,,
4,Object-related processes,Provide public communications service,"Affords communication on public events such as the news, weather or public health messages.",,,
4,Object-related processes,Provide qualification services,"Affords courses for professional qualifications (e.g. DVLA, MSc, BSc, HND/HNC, NQs, Highers, language qualifiations, other trade qualifications).",,,
4,Object-related processes,Provide recreational learning,Affords recreational learning to enable personal development.,,,
4,Object-related processes,Provide rehabilitation services,"Affords rehabilitation and recovery services from injury, illness or disease. ",,,
4,Object-related processes,Provide removal and storage services,Affords removal and or/storage services for personal and commercial use.,,,
4,Object-related processes,Provide retributive justice and criminal deterrence,Affords retributive justice for a crime that has been commited and future criminal deterrence.,,,
4,Object-related processes,Provide sexual healthcare services,Affords professional sexual healthcare and support services.,,,
4,Object-related processes,Provide social support,Affords help and support for any vulernable person or group.,,,
4,Object-related processes,Provide staple goods,Affords consumer staple goods to be purchased or provided for free. Staple goods are considered essential as demand remains staple regardless of the price.,,,
4,Object-related processes,Provide street care and cleaning,Affords street care and cleaning e.g. fly-tipping removal)=.,,,
4,Object-related processes,Provide street lighting,Affords street lighting to increase safety.,,,
4,Object-related processes,Provide supported learning,"Affords physical, social, emotional or intellectual support to enable all pupils to have equal educational opportunities.",,,
4,Object-related processes,Provide temporary shelter,Affords temporary shelter from weather or events.,,,
4,Object-related processes,Provide working environment,Affords a place to work.,,,
4,Object-related processes,Provide younger childcare,Affords childcare for children who are of pre-school age.,,,
4,Object-related processes,Rent vehicles,Affords vehicles to be rented for a short period of time.,,,
4,Object-related processes,Respond to emergencies,Affords a rapid response to unexpected emergencies (including medical emergencies).,,,
4,Object-related processes,Screen media,Affords films and other types of media to be screened within buildings.,,,
4,Object-related processes,Secure place to keep your possessions,Affords a secure place to keep personal belongings.,,,
4,Object-related processes,Sequester carbon,Affords carbon to be sequestered.,,,
4,Object-related processes,Sort and organise delivery of goods,Affords goods to be sorted in order to be delivered to customer end-points.,,,
4,Object-related processes,Store gas,Stores or contains gas.,,,
4,Object-related processes,Store vehicles,Stores vehicles.,,,
4,Object-related processes,Store wastewater,Stores or contains wastewater.,,,
4,Object-related processes,Store water,Stores or contains water.,,,
4,Object-related processes,Store wholesale goods,Affords wholesale goods to be stored before being sold to retailers and/or customers.,,,
4,Object-related processes,Support access to employment,Affords access to employment.,,,
4,Object-related processes,Support air filtration,Affords air filtration.,,,
4,Object-related processes,Support excess water storage,Affords excess water to be stored.,,,
4,Object-related processes,Support mental health,"Affords blue/green mental health benefits, as well as physical fitness that has a direct impact on mental health. ",,,
4,Object-related processes,Support microclimate regulation,Affords microclimate regulation by reducing urban heat effect.,,,
4,Object-related processes,Support nutrient cycles,Affords and supports nutrient cycles.,,,
4,Object-related processes,Support physical health and fitness,Affords physical health and fitness.,,,
4,Object-related processes,Support species habitat,Affords and supports species habitat.,,,
4,Object-related processes,Support water purification,Affords water purification.,,,
4,Object-related processes,Survey buildings,Affords buildings and properities to be surveyed and evaluated for commerical and safety purposes.,,,
4,Object-related processes,Transmit electricity,Affords the transmission of electricity.,,,
4,Object-related processes,Transmit gas,Affords the transmission of gas.,,,
4,Object-related processes,Transmit money,"Affords money to be wired, granted via loans, or debt to be collected.                                        ",,,
4,Object-related processes,Transmit telecommunications,Affords telecommunication transmission.,,,
4,Object-related processes,Transport waste and recycling,Affords transportation of waste and recycling to their sorting/disposal site.,,,
4,Object-related processes,Transport wastewater,Affords transportation of wastewater.,,,
4,Object-related processes,Transport water,Affords transportation of water.,,,
4,Object-related processes,Treat wastewater,Affords wastewater to be treated in order for it to be safely released into the environment.,,,
4,Object-related processes,Treat water,Affords water to be treated in order for it to be safely consumed or released into the environment.,,,
4,Object-related processes,Undertake legal proceedings,Affords legal proceedings (e.g. court proceedings).,,,
4,Object-related processes,Undertake research,Affords research to be undertaken.,,,
5,Physical objects,Absorption towers,Includes industrial absorption towers to retain impurities.,,,
5,Physical objects,Accountancy firms,"Includes companies providing accounting, tax consultancy and/or auditing services.",,,
5,Physical objects,Advertising,"Includes companies providing advertising, marketing, graphic design or public relations services.",,,
5,Physical objects,Agriculture,"Includes food production and horticulture, such as agriculture farms (including dairy and livestock) , bee keeping, greenhouses, orchards, tree/plant nurseries and allotments/community gardens.",,,
5,Physical objects,Air bases,Includes aerodrome sites used for military aircraft.,,,
5,Physical objects,Airplanes and helicopters,Includes the mode of transport itself.,,,
5,Physical objects,Airports (major),"Includes aerodome site, terminals (which would include passenger facilities), and trasport infrastructure (e.g. runways and taxiways).",,,
5,Physical objects,Airports (minor),"Includes aerodome site and transport infrastructure, but does not include passenger facilities. ",,,
5,Physical objects,Ambulance stations,"Includes facilities to store and maintain emergency vehicles, medical equipment, as well as facilities for staff.",,,
5,Physical objects,Animal care,"Includes animal boarding, pet retail, and animal trades and services such as dog walking or grooming services. ",,,
5,Physical objects,Animal shelters,Includes facilities that provide animal shelter and welfare.,,,
5,Physical objects,Apparel retail,Includes retailers specialised mainly in apparel and accessorises.,,,
5,Physical objects,Apparel services,"Includes clothing maintenande services such as dry cleaners, laundrettes, tailors and seamstresses, and clothing hire (e.g. for wedding or costume apparel).",,,
5,Physical objects,Aquaculture,Includes food production from aquaric animals or the cultivation of aquatic plants for food.,,,
5,Physical objects,Aquariums,"Includes establishments which maintain a collection of marine animals, typically in aquariums for study, conservation, or display to the public.",,,
